,Name,Genre,Director,Cast
230,The Last Picture Show,Drama,Peter Bogdanovich,Timothy Bottoms/Jeff Bridges
231,The Perks Of Being A Wallflower,Drama/Romance,Stephen Chbosky,Logan Lerman/Emma Watson
232,Sleuth (1972),Mystery/Thriller,Joseph L. Mankiewicz,Laurence Olivier/Michael Caine
233,Before Sunrise,Drama/Romance,Richard Linklater,Ethan Hawke/Julie Delpy
234,"Paris, Texas",Drama,Wim Wenders,Harry Dean Stanton/Nastassja Kinski
235,Bringing Up Baby,Comedy/Family/Romance,Howard Hawks,Katharine Hepburn/Cary Grant
236,Arsenic and Old Lace,Comedy/Crime/Thriller,Frank Capra,Cary Grant/Priscilla Lane
237,The Man Who Shot Liberty Valance,Drama/Western,John Ford,James Stewart/John Wayne
238,Before Midnight,Drama/Romance,Richard Linklater,Ethan Hawke/Julie Delpy
239,Jaws,Adventure/Drama/Thriller,Steven Spielberg,Roy Scheider/Robert Shaw
240,The Help,Drama,Tate Taylor,Emma Stone/Viola Davis
241,Anatomy of a Murder (1959),Crime/Drama/Mystery,Otto Preminger,James Stewart/Lee Remick
242,The Sea Inside,Biography/Drama/Romance,Alejandro Amenábar,Javier Bardem/Belén Rueda
243,Solaris,Drama/Mystery/Romance,Steven Soderbergh,George Clooney/Natascha McElhone
244,Prisoners,Crime/Drama/Mystery,Denis Villeneuve,Hugh Jackman/Jake Gyllenhaal
245,12 Monkeys,Mystery/Sci-Fi/Thriller,Terry Gilliam,Bruce Willis/Madeleine Stowe
246,Rio Bravo,Action/Drama/Western,Howard Hawks,John Wayne/Dean Martin
247,Harvey,Comedy/Drama/Fantasy,Henry Koster,James Stewart/Josephine Hull
248,Harold and Maude,Comedy/Drama/Romance,Hal Ashby,Ruth Gordon/Bud Cort
249,Elite Squad,Action/Crime/Drama,José Padilha,Wagner Moura/André Ramiro
250,Pirates of the Caribbean: The Curse of the Black Pearl,Action/Adventure/Fantasy,Gore Verbinski,Johnny Depp/Geoffrey Rush
251,Wings of Desire,Drama/Fantasy/Romance,Wim Wenders,Bruno Ganz/Solveig Dommartin
252,Rocky,Drama/Sport,John G. Avildsen,Sylvester Stallone/Talia Shire
253,His Girl Friday,Comedy/Drama/Romance,Howard Hawks,Cary Grant/Rosalind Russell
254,Duck Soup,Comedy/Musical/War,Leo McCarey,Groucho Marx/Harpo Marx
255,Dog Day Afternoon,Crime/Drama,Sidney Lumet,Al Pacino/John Cazale
256,The Graduate,Comedy/Drama,Mike Nichols,Dustin Hoffman/Anne Bancroft
